,name,review,cuisine,latitude,longitude,address,rating,review_count,price,postal_code
67,Afterwit,decent mexican food near bugis min walk mrt station tried make taco option meant pax includes soft taco,mexican,1.30354,103.85992,"['778 North Bridge Rd', 'Singapore 198746', 'Singapore']",4.0,6.0,$$,198746
68,Afterwit,absolutely perfect service kudos staff minus one star bathroom thats kinda dark wet blehckkkthe,mexican,1.30354,103.85992,"['778 North Bridge Rd', 'Singapore 198746', 'Singapore']",4.0,6.0,$$,198746
69,Ah Bong's Italian,ive never original coffee shop location tiong bahru given opportunity try second air conditioned outlet couldnt,italian,1.29787795894514,103.857125989331,"['103 Beach Rd', '#01-02', 'Singapore 189704', 'Singapore']",4.0,2.0,$$,189704
70,Ah Bong's Italian,place popular small make sure book want indoors airconthe owner couldnt excited food offer,italian,1.29787795894514,103.857125989331,"['103 Beach Rd', '#01-02', 'Singapore 189704', 'Singapore']",4.0,2.0,$$,189704
71,Ah Tai Hainanese Chicken Rice,years later still fave hainanese chicken spot made sure make first lunch stop arrived couldnt wait tian tian,singaporean,1.280415,103.844583,"['1 Kadayanallur St', 'Stall 7', 'Singapore 069184', 'Singapore']",4.5,56.0,$,69184
72,Ah Tai Hainanese Chicken Rice,best hainan chicken rice ive tried far tian tian popular rice good ah tai good ah tai wins easily,singaporean,1.280415,103.844583,"['1 Kadayanallur St', 'Stall 7', 'Singapore 069184', 'Singapore']",4.5,56.0,$,69184
73,Ah Tai Hainanese Chicken Rice,ever find chinatown head straight maxwell stall best chicken rice ever eat life mouthwatering,singaporean,1.280415,103.844583,"['1 Kadayanallur St', 'Stall 7', 'Singapore 069184', 'Singapore']",4.5,56.0,$,69184
98,Ajisen Ramen,feel obligation write review fellow yelpers ajisen everything want ramen place beconfigurable tasty fast lots,japanese,1.30039493498447,103.854789733887,"['200 Victoria St', '01# Bugis Junction', 'Singapore 188021', 'Singapore']",2.5,3.0,$,188021
99,Ajisen Ramen,review lunch friend ajisen ramen changi city pointthe ambiance simple functional,japanese,1.30039493498447,103.854789733887,"['200 Victoria St', '01# Bugis Junction', 'Singapore 188021', 'Singapore']",2.5,3.0,$,188021
100,Ajisen Ramen,either never change frying oil left dumplimgs frying long fried smelt comes without lemon ramen noodle,japanese,1.30039493498447,103.854789733887,"['200 Victoria St', '01# Bugis Junction', 'Singapore 188021', 'Singapore']",2.5,3.0,$,188021
101,Ajisen Ramen,good spot get nice quick lunch dinner bugis go place veg ramen noodle soup getting exactly expect every,japanese,1.30039493498447,103.854789733887,"['200 Victoria St', '01# Bugis Junction', 'Singapore 188021', 'Singapore']",2.5,3.0,$,188021
102,Ajisen Ramen,first time eating ajisen ramen bugis junction outlet food bad ordering method using tablet service charge gst,japanese,1.30039493498447,103.854789733887,"['200 Victoria St', '01# Bugis Junction', 'Singapore 188021', 'Singapore']",2.5,3.0,$,188021
103,Alaturka,delicious yummy turkish food love lavas breadhummus must tasty kebab service perfect happy served fatih,mediterranean,1.301179,103.8599691,"['15 Bussorah St', 'Singapore 199437', 'Singapore']",3.5,21.0,$$,199437
104,Alaturka,arab street place go sgp middle eastern nosh ive tried fair eateries area place keep going back,mediterranean,1.301179,103.8599691,"['15 Bussorah St', 'Singapore 199437', 'Singapore']",3.5,21.0,$$,199437
105,Alaturka,michelin bib gourmand turkish restaurant near arab street hummus special breads highlight place would,mediterranean,1.301179,103.8599691,"['15 Bussorah St', 'Singapore 199437', 'Singapore']",3.5,21.0,$$,199437
109,Alter Ego,many deemed poke bowls standard opted dirty bites included burgers bar bites night chicken,western,1.28923894692078,103.856581543506,"['8 Raffles Ave', '#01-13D', 'Singapore 039802', 'Singapore']",2.5,5.0,$$,39802
110,Alter Ego,alter ego sister poke theory opened two yo siblingsthe poke bowls almost exactly differing switch,western,1.28923894692078,103.856581543506,"['8 Raffles Ave', '#01-13D', 'Singapore 039802', 'Singapore']",2.5,5.0,$$,39802
111,Alter Ego,tried place since hungry rush utterly disappointed overall experience plus side store really took great,western,1.28923894692078,103.856581543506,"['8 Raffles Ave', '#01-13D', 'Singapore 039802', 'Singapore']",2.5,5.0,$$,39802
136,Ambrosia,went restaurant celebrate friends birthday though generally good time food reasonable drinks okay,mediterranean,1.30136,103.8597183,"['19 & 25a Baghdad St', 'Singapore 199658', 'Singapore']",1.5,2.0,$$$,199658
137,Ambrosia,always find arabbaghdad street stretch little sleazy dudes menus stand outside restaurants trying wave patrons ambrosia,mediterranean,1.30136,103.8597183,"['19 & 25a Baghdad St', 'Singapore 199658', 'Singapore']",1.5,2.0,$$$,199658
138,Amirah's Grill Restaurant & Cafe,location restaurant perfect right middle heart arab street great people watch want european,mediterranean,1.3012,103.8600769,"['14 Bussorah Street', 'Singapore 199435', 'Singapore']",2.5,5.0,$$,199435
139,Amirah's Grill Restaurant & Cafe,good service fair price nice location middle arab street andwe return sure,mediterranean,1.3012,103.8600769,"['14 Bussorah Street', 'Singapore 199435', 'Singapore']",2.5,5.0,$$,199435
140,Amirah's Grill Restaurant & Cafe,sometimes get bit confused middle eastern food kampong glam area instead alaturka ended amirahs instead lunch,mediterranean,1.3012,103.8600769,"['14 Bussorah Street', 'Singapore 199435', 'Singapore']",2.5,5.0,$$,199435
141,Arirang Korean Restaurant,food service remains management might need pay attention maintenance place see proper maintenance,korean,1.29772,103.8565292,"['1 Liang Seah Street', '#01-07/08 Liang Seah Place', 'Singapore 189022', 'Singapore']",3.5,3.0,$$,189022
142,Arirang Korean Restaurant,arirang korean restaurant famous korean bbq order either la carte buffet style meats seafood menu also,korean,1.29772,103.8565292,"['1 Liang Seah Street', '#01-07/08 Liang Seah Place', 'Singapore 189022', 'Singapore']",3.5,3.0,$$,189022
143,Arirang Korean Restaurant,korean bbq restaurants becoming increasingly popular singapore arirang korean restaurant extensive menu wide variety ala,korean,1.29772,103.8565292,"['1 Liang Seah Street', '#01-07/08 Liang Seah Place', 'Singapore 189022', 'Singapore']",3.5,3.0,$$,189022
144,Aroy Dee,another thai food restaurant list used talk aroy dee meal everytime pass middle road especially kitchen,thai,1.301639,103.850371,"['262 Middle Rd', 'Elias Building', 'Sunshine Plaza', 'Singapore 188989', 'Singapore']",4.0,14.0,$$,188989
145,Aroy Dee,great food friendly service chill ambiance relax refreshing hite beer good selection alcohol price definitely affordable,thai,1.301639,103.850371,"['262 Middle Rd', 'Elias Building', 'Sunshine Plaza', 'Singapore 188989', 'Singapore']",4.0,14.0,$$,188989
146,Aroy Dee,great food waitress cute kelly worth coming toopen late awesomecheap n man ate tigers less,thai,1.301639,103.850371,"['262 Middle Rd', 'Elias Building', 'Sunshine Plaza', 'Singapore 188989', 'Singapore']",4.0,14.0,$$,188989
147,Ash & Elm,food ok server ball although manager great think service better would bump stars many,european,1.29816,103.8548,"['80 Middle Road', 'Level 1', 'Singapore 188966', 'Singapore']",4.0,8.0,$$$,188966
148,Ash & Elm,came breakfast buffet since staying intercontinental meh definitely wasnt favorite although personal bottles carrot,european,1.29816,103.8548,"['80 Middle Road', 'Level 1', 'Singapore 188966', 'Singapore']",4.0,8.0,$$$,188966
149,Ash & Elm,stars amazing follow concept redo former olive treeno easy taskthey done congrats fine execution result,european,1.29816,103.8548,"['80 Middle Road', 'Level 1', 'Singapore 188966', 'Singapore']",4.0,8.0,$$$,188966
171,Asia Grand Restaurant,one popular go restaurants cantonese cuisine offer great menus large groups based different tier pricing,cantonese,1.2958962906156,103.853534789024,"['331 North Bridge Rd', '#01-02, #01-05 - 08', 'Singapore 188720', 'Singapore']",4.0,12.0,$$,188720
172,Asia Grand Restaurant,decent slightly average dim sum restaurant located within city hall bras basah bugis area cant miss restaurant located,cantonese,1.2958962906156,103.853534789024,"['331 North Bridge Rd', '#01-02, #01-05 - 08', 'Singapore 188720', 'Singapore']",4.0,12.0,$$,188720
173,Asia Grand Restaurant,wouldve given place five star rating menu descriptive whats inside dishto conclude singapore trip decided,cantonese,1.2958962906156,103.853534789024,"['331 North Bridge Rd', '#01-02, #01-05 - 08', 'Singapore 188720', 'Singapore']",4.0,12.0,$$,188720
177,Atmastel,restaurant located near mrt station restaurant stylish modern decoration although tables indoor,italian,1.29441188243389,103.855544017197,"['26 Beach Rd', '#B1-22', 'South Beach Avenue', 'Singapore 189768', 'Singapore']",3.5,4.0,$$$,189768
178,Atmastel,lunch surprised solid performance authentic italian food buttata starter dont pick calamari zucchini,italian,1.29441188243389,103.855544017197,"['26 Beach Rd', '#B1-22', 'South Beach Avenue', 'Singapore 189768', 'Singapore']",3.5,4.0,$$$,189768
179,Atmastel,pizza would midrange chain back us would cost bucks carryout special soggy crust decent char bland sauce,italian,1.29441188243389,103.855544017197,"['26 Beach Rd', '#B1-22', 'South Beach Avenue', 'Singapore 189768', 'Singapore']",3.5,4.0,$$$,189768
180,Bahn Beer Thai Restaurant,delicious thai foods reasonable price airconditioned place plus nice staffs,thai,1.30308,103.86509,"['5001 Beach Rd', '#01-94, Golden Mile Complex', 'Singapore 199589', 'Singapore']",4.0,11.0,$,199589
181,Bahn Beer Thai Restaurant,fav restaurant get thai food fix nara thai ion orchard lose way big time humble establishment lunch set youd get delicious,thai,1.30308,103.86509,"['5001 Beach Rd', '#01-94, Golden Mile Complex', 'Singapore 199589', 'Singapore']",4.0,11.0,$,199589
182,Bahn Beer Thai Restaurant,standard dropped sure changed chefs due reasonspricing also seems increased probably wont back time,thai,1.30308,103.86509,"['5001 Beach Rd', '#01-94, Golden Mile Complex', 'Singapore 199589', 'Singapore']",4.0,11.0,$,199589
183,Baja Fresh Mexican Grill,went lunch took lunch set menu actually choice main dish lowet price options limited went baja,mexican,1.29870065384118,103.849060785431,"['9 Bras Basah Rd', '#01-03 Rendezvous Hotel Gallery', 'Singapore 189559', 'Singapore']",3.0,22.0,$$,189559
184,Baja Fresh Mexican Grill,popped weekday pleasantly surprised learn ocbc frank card members entitled bill,mexican,1.29870065384118,103.849060785431,"['9 Bras Basah Rd', '#01-03 Rendezvous Hotel Gallery', 'Singapore 189559', 'Singapore']",3.0,22.0,$$,189559
185,Baja Fresh Mexican Grill,quick service mexican food order counter serve food tableordered baja burrito americano tacos,mexican,1.29870065384118,103.849060785431,"['9 Bras Basah Rd', '#01-03 Rendezvous Hotel Gallery', 'Singapore 189559', 'Singapore']",3.0,22.0,$$,189559
186,Bakerzin,one regular trips gardens bay yes love heading gardens nice stroll morning kind hungry thought,singaporean,1.2820801,103.8656464,"['18 Marina Gardens Drive', 'Gardens by the Bay, The Canopy', 'Singapore 018953', 'Singapore']",2.0,8.0,$$,18953
187,Bakerzin,curry chicken seafood pasta cold weather curry thick flavour strong feel filling food,singaporean,1.2820801,103.8656464,"['18 Marina Gardens Drive', 'Gardens by the Bay, The Canopy', 'Singapore 018953', 'Singapore']",2.0,8.0,$$,18953
188,Bakerzin,came hide relentless rain seemed like almost everyone idea fairly crowded empty tables seats,singaporean,1.2820801,103.8656464,"['18 Marina Gardens Drive', 'Gardens by the Bay, The Canopy', 'Singapore 018953', 'Singapore']",2.0,8.0,$$,18953
189,BBQ Chicken,area friend decided pop quick mealthe chicken pretty good opinion although serving size,korean,1.28865529519696,103.846583047072,"['8 Eu Tong Sen Street', 'The Central #01', 'Singapore 059818', 'Singapore']",1.0,1.0,$$,59818
190,BBQ Chicken,students bbq chickens promotion tempting wouldnt mind coming back although said provide korean dishes bbq,korean,1.28865529519696,103.846583047072,"['8 Eu Tong Sen Street', 'The Central #01', 'Singapore 059818', 'Singapore']",1.0,1.0,$$,59818
191,BBQ Chicken,oneforone student deals tempting sounded like good value money family came branch birthday,korean,1.28865529519696,103.846583047072,"['8 Eu Tong Sen Street', 'The Central #01', 'Singapore 059818', 'Singapore']",1.0,1.0,$$,59818
192,BBQ Chicken,million dollar questions korean chicken chain survive years herewhat waste precious calories,korean,1.28865529519696,103.846583047072,"['8 Eu Tong Sen Street', 'The Central #01', 'Singapore 059818', 'Singapore']",1.0,1.0,$$,59818
193,Beach Road Kitchen,great location easy access via mrt stopped esplanade station walk enjoy magnificent architecture jw marriott hotel check,singaporean,1.2947,103.85551,"['30 Beach Rd', 'Level 1', 'Singapore 189763', 'Singapore']",4.5,13.0,$$,189763
194,Beach Road Kitchen,celiac disease struggled find places singapore safe eat staying jw marriott advised go,singaporean,1.2947,103.85551,"['30 Beach Rd', 'Level 1', 'Singapore 189763', 'Singapore']",4.5,13.0,$$,189763
195,Beach Road Kitchen,went breakfast bit pricy great items fresh cold section amazing felt like walking,singaporean,1.2947,103.85551,"['30 Beach Rd', 'Level 1', 'Singapore 189763', 'Singapore']",4.5,13.0,$$,189763
220,Bee Cheng Hiang - New Bridge Road,guess final day singapore would complete without foods soooo yummy,singaporean,1.284398,103.843941,"['189 New Bridge Rd', 'Singapore 059422', 'Singapore']",4.5,7.0,$$,59422
221,Bee Cheng Hiang - New Bridge Road,first booked hotel street place super convenient buy whenever wanted stay,singaporean,1.284398,103.843941,"['189 New Bridge Rd', 'Singapore 059422', 'Singapore']",4.5,7.0,$$,59422
222,Bee Cheng Hiang - New Bridge Road,irresistible mouthwatering bbq meatjerky like chilli pork spice kicks end vacuum packed miniez makes great choice,singaporean,1.284398,103.843941,"['189 New Bridge Rd', 'Singapore 059422', 'Singapore']",4.5,7.0,$$,59422
223,Bel Mondo,truly great italian food singapore great service menu lots salads pastas great pizza menu highly recommended,italian,1.2920715,103.859851,"['9 Raffles Boulevard', 'Singapore 039596', 'Singapore']",4.0,6.0,$$$,39596
224,Bel Mondo,last night singapore could stomach one asian cuisine decided italian would would go picked restaurant,italian,1.2920715,103.859851,"['9 Raffles Boulevard', 'Singapore 039596', 'Singapore']",4.0,6.0,$$$,39596
225,Bel Mondo,loved food ravioli pasta pizza tried really flavorful portions good service friendly pricing,italian,1.2920715,103.859851,"['9 Raffles Boulevard', 'Singapore 039596', 'Singapore']",4.0,6.0,$$$,39596
226,Beyond Pancakes,dutch pancakes thin filling nice like galette salmon egg even burpple beyond works avocado juice,french,1.29122,103.8578,"['6 Raffles Boulevard', '#03-131A', 'Singapore 039594', 'Singapore']",3.5,7.0,$$,39594
227,Beyond Pancakes,good relax dinner dessert place didnt get chance order pizzas pasta judging menu ive great confidence,french,1.29122,103.8578,"['6 Raffles Boulevard', '#03-131A', 'Singapore 039594', 'Singapore']",3.5,7.0,$$,39594
228,Beyond Pancakes,saturday august time ishsuper late lunchi wanting go establishment abit thankfully managed go,french,1.29122,103.8578,"['6 Raffles Boulevard', '#03-131A', 'Singapore 039594', 'Singapore']",3.5,7.0,$$,39594
229,Bibigo,food decent service ok bad food doesnt come side items im use korean restaurants side dishes,korean,1.29558,103.8589401,"['9 Temasek Boulevard', '#B1-107, Suntec Tower 2', 'Singapore 038989', 'Singapore']",2.5,3.0,$$,38989
230,Bibigo,first time bibigo ordered spicy soft tofu soup pork tasted ok wow normal decent korean soup expecting since,korean,1.29558,103.8589401,"['9 Temasek Boulevard', '#B1-107, Suntec Tower 2', 'Singapore 038989', 'Singapore']",2.5,3.0,$$,38989
231,Bibigo,food portions small price piece cut beef bulgogi also clams tofu soup fresh clams,korean,1.29558,103.8589401,"['9 Temasek Boulevard', '#B1-107, Suntec Tower 2', 'Singapore 038989', 'Singapore']",2.5,3.0,$$,38989
232,Blanco Court Fish Bee Hoon,one go places fish soup like local dishes different requirements makes good bowl fish,singaporean,1.30132,103.8615875,"['Luk Lu Eating House', '341 Beach Road', 'Singapore 199567', 'Singapore']",4.0,9.0,$,199567
233,Blanco Court Fish Bee Hoon,seriously best bowl fish noodles mix sliced fish fried fish flavorful soup best part serve,singaporean,1.30132,103.8615875,"['Luk Lu Eating House', '341 Beach Road', 'Singapore 199567', 'Singapore']",4.0,9.0,$,199567
234,Blanco Court Fish Bee Hoon,alltime favourite fish bee hoon soup ever nothing else ive tried compares ages years since first,singaporean,1.30132,103.8615875,"['Luk Lu Eating House', '341 Beach Road', 'Singapore 199567', 'Singapore']",4.0,9.0,$,199567
235,Bochinche,top notch service actually made boo boo accidentally change day visit instead time staff alerted mt error app change,argentine,1.28227,103.8476,"['115 Amoy St', '#01-02', 'Singapore 069935', 'Singapore']",4.0,5.0,$$$,69935
236,Bochinche,argentinian restaurant singapore must try marked first foray argentinian cuisine open kitchen concept,argentine,1.28227,103.8476,"['115 Amoy St', '#01-02', 'Singapore 069935', 'Singapore']",4.0,5.0,$$$,69935
237,Bochinche,chef fabi entire team bochinche incredibly skilled kind partner amazing dinner last weekend started,argentine,1.28227,103.8476,"['115 Amoy St', '#01-02', 'Singapore 069935', 'Singapore']",4.0,5.0,$$$,69935
238,BonChon Chicken,super crispy chicken wings tart lemon tea salt bomb budae jiggae delicious go knowing junky fast food dont expect,korean,1.2997818,103.8541438,"['201 Victoria St', '#01-11', 'Singapore 188067', 'Singapore']",3.0,12.0,$,188067
239,BonChon Chicken,dinner planned dinner choice moved bugis us settled beef bibimbap mixed rice stone pot,korean,1.2997818,103.8541438,"['201 Victoria St', '#01-11', 'Singapore 188067', 'Singapore']",3.0,12.0,$,188067
240,BonChon Chicken,wings die someone loves spicy food spicy wings amazing would recommend get half half try different,korean,1.2997818,103.8541438,"['201 Victoria St', '#01-11', 'Singapore 188067', 'Singapore']",3.0,12.0,$,188067
241,Bornga,usamgyup enjoyable familiar thinly sliced marinated beef typical beef bbq great yje impressive,korean,1.29532,103.8593826,"['Suntec City', 'Tower 3, #01-641/642', 'Singapore 038988', 'Singapore']",3.5,4.0,$$,38988
242,Bornga,beef thinly sliced taste anything quite enjoy pork belly side dishes ok lacking core dish ikan bilis,korean,1.29532,103.8593826,"['Suntec City', 'Tower 3, #01-641/642', 'Singapore 038988', 'Singapore']",3.5,4.0,$$,38988
243,Bornga,review best part friday last week way hell oh god hell singapore overrated overpriced overhyped,korean,1.29532,103.8593826,"['Suntec City', 'Tower 3, #01-641/642', 'Singapore 038988', 'Singapore']",3.5,4.0,$$,38988
244,Bornga,expensive side really tasty use real charcoal get much better flavor gas grill cook meat,korean,1.29532,103.8593826,"['Suntec City', 'Tower 3, #01-641/642', 'Singapore 038988', 'Singapore']",3.5,4.0,$$,38988
245,Bornga,stars army stew beef broth love beef friends cant eat beef religious purpose,korean,1.29532,103.8593826,"['Suntec City', 'Tower 3, #01-641/642', 'Singapore 038988', 'Singapore']",3.5,4.0,$$,38988
246,Bornga,stopped tuesday lunch family pretty quiet inside noon believe seated immediately ordered woo,korean,1.29532,103.8593826,"['Suntec City', 'Tower 3, #01-641/642', 'Singapore 038988', 'Singapore']",3.5,4.0,$$,38988
247,Botejyu San,great gyoza love thin crispy layer flour lined gyozas nice fragrant charred tastetheir signature dish cross,japanese,1.29982858782121,103.844793945464,"['Plaza Singapura', 'Singapore 048617', 'Singapore']",3.5,2.0,$,48617
248,Botejyu San,fortunate enough chance upon japanese restaurant hidden away japanese corner plaza singapura aimlessly walking around,japanese,1.29982858782121,103.844793945464,"['Plaza Singapura', 'Singapore 048617', 'Singapore']",3.5,2.0,$,48617
249,Bumbu,know bumbu means spice indonesian neither thank google youd think name bumbud indonesian eatery nah uh,"thai, indonesian",1.28452,103.847187,"['Telok Ayer Street', '125', 'Singapore 048423', 'Singapore']",3.0,2.0,$,48423
250,Bumbu,work bumbu come lunch indonesian food pretty authentic would recommend anyone fan,"thai, indonesian",1.28452,103.847187,"['Telok Ayer Street', '125', 'Singapore 048423', 'Singapore']",3.0,2.0,$,48423
251,Bumbu,pretty good food service soso like spicy place chicken dishes came best overall,"thai, indonesian",1.28452,103.847187,"['Telok Ayer Street', '125', 'Singapore 048423', 'Singapore']",3.0,2.0,$,48423
252,Bumbu,love decor place also quiet atmosphere restaurant favorite part visit seated level,"thai, indonesian",1.28452,103.847187,"['Telok Ayer Street', '125', 'Singapore 048423', 'Singapore']",3.0,2.0,$,48423
253,Bumbu,recommended sporeans tasting menu night came back lunch today food great staff friendly atmosphere lacking close arab,"thai, indonesian",1.28452,103.847187,"['Telok Ayer Street', '125', 'Singapore 048423', 'Singapore']",3.0,2.0,$,48423
269,Burlamacco Ristorante,find chunks garlic risotto milanese known im far away possible authentic italian food bad starters,italian,1.2804805,103.8468004,"['77 Amoy Street', 'Singapore 069896', 'Singapore']",3.5,6.0,$$$,69896
270,Burlamacco Ristorante,picked unique little spot date night last week disappoint went set meal dinner wine pairings everything,italian,1.2804805,103.8468004,"['77 Amoy Street', 'Singapore 069896', 'Singapore']",3.5,6.0,$$$,69896
271,Burlamacco Ristorante,went lunch weekday place packed office folks good sign service warm efficientthe food,italian,1.2804805,103.8468004,"['77 Amoy Street', 'Singapore 069896', 'Singapore']",3.5,6.0,$$$,69896
272,Bushra Café,um place needs taste boost mostly nice people watching service good though,italian,1.30133,103.8597412,"['25 Baghdad Street', 'Singapore 199664', 'Singapore']",2.5,3.0,$,199664
273,Bushra Café,cafe housed side sultan mosque ambience pleasant wide selection western arabic eastern cuisine,italian,1.30133,103.8597412,"['25 Baghdad Street', 'Singapore 199664', 'Singapore']",2.5,3.0,$,199664
274,Bushra Café,place really represent singapore food fusion dishes ethnic groups singapore also thai italian,italian,1.30133,103.8597412,"['25 Baghdad Street', 'Singapore 199664', 'Singapore']",2.5,3.0,$,199664
275,Café Iguana,margarita bar near clarke quay serves variety margarita quite good refreshing though slightly watered downdidnt try food cant,mexican,1.28911669453631,103.844573666391,"['30 Merchant Rd', '#01-03', 'Singapore 058282', 'Singapore']",4.0,42.0,$$,58282
276,Café Iguana,ambience quite good covid whole place near restaurants grossly underpopulated service good food came time,mexican,1.28911669453631,103.844573666391,"['30 Merchant Rd', '#01-03', 'Singapore 058282', 'Singapore']",4.0,42.0,$$,58282
277,Café Iguana,walked place hotel conveniently located outside seating excellent evening view riverside bridges,mexican,1.28911669453631,103.844573666391,"['30 Merchant Rd', '#01-03', 'Singapore 058282', 'Singapore']",4.0,42.0,$$,58282
278,Caffé B,japaneseitalian fusion restaurant bar ann siang hill housed traditional corner shophouse decor makes place feel bright,italian,1.28159,103.84602,"['64 Club St', 'Singapore 069438', 'Singapore']",3.5,11.0,$$,69438
279,Caffé B,honestly dont know happened restaurant surely something gone wrong ill leave wrong decor e side want focus,italian,1.28159,103.84602,"['64 Club St', 'Singapore 069438', 'Singapore']",3.5,11.0,$$,69438
280,Caffé B,failing get table mozza swung caffe b still mood italian glad billing,italian,1.28159,103.84602,"['64 Club St', 'Singapore 069438', 'Singapore']",3.5,11.0,$$,69438
281,Chabuton,service ok typical mall food priced food worth calorie hawker better price,japanese,1.293009,103.859495,"['9 Raffles Blvd', '#02-15', 'Singapore 039596', 'Singapore']",5.0,6.0,$$,39596
282,Chabuton,tried place feeling adventurous read feeling bit lazy walk go ramen place read chef one,japanese,1.293009,103.859495,"['9 Raffles Blvd', '#02-15', 'Singapore 039596', 'Singapore']",5.0,6.0,$$,39596
283,Chabuton,poor practice chefs received michelin star home country advertise fact singapore outlets awarded,japanese,1.293009,103.859495,"['9 Raffles Blvd', '#02-15', 'Singapore 039596', 'Singapore']",5.0,6.0,$$,39596
284,Chabuton,good ramen actually one best ramen singaporei area unsure wanted eat came without reading reviews,japanese,1.293009,103.859495,"['9 Raffles Blvd', '#02-15', 'Singapore 039596', 'Singapore']",5.0,6.0,$$,39596
285,Chabuton,another round ramen lunch yeah lot ramen month chabuton chain supervised michelinstarred chef since,japanese,1.293009,103.859495,"['9 Raffles Blvd', '#02-15', 'Singapore 039596', 'Singapore']",5.0,6.0,$$,39596
286,Chabuton,moments ive quaffed dregs warm luscious broth karakara tonkatsu ramen nibbled sordid bits fried shallot,japanese,1.293009,103.859495,"['9 Raffles Blvd', '#02-15', 'Singapore 039596', 'Singapore']",5.0,6.0,$$,39596
287,Chao Shan Cuisine,dishes delicate subtle flavor balances singaporean foodcrabs fish fresh may know seafood,singaporean,1.28437,103.84986,"['17 Philip St', '#01-01/02, Grand Building', 'Singapore 048695', 'Singapore']",4.0,3.0,$$$,48695
288,Chao Shan Cuisine,place bustling otherwise empty raffles place chinese new year menu wonderful surprise food standard didnt drop,singaporean,1.28437,103.84986,"['17 Philip St', '#01-01/02, Grand Building', 'Singapore 048695', 'Singapore']",4.0,3.0,$$$,48695
