,Unnamed: 0_x,Unnamed: 0.1,name,id,review,Unnamed: 0_y,cuisine,latitude,longitude,address,rating,review_count,price
88,7.0,7.0,Song Fa Bak Kut Teh,CdAmgWWCabZQoYNNWOKcEw,tried pork ribs soup delicious honestly think everyone restaurant eating thing haha couldve drank broth,3,singaporean,1.28897,103.84774,"['11 New Bridge Rd', '#01-01', 'Singapore 059383', 'Singapore']",4.0,135,$
89,8.0,8.0,Song Fa Bak Kut Teh,CdAmgWWCabZQoYNNWOKcEw,get hype one consistent places terms food quality service even though food fairly simple find,3,singaporean,1.28897,103.84774,"['11 New Bridge Rd', '#01-01', 'Singapore 059383', 'Singapore']",4.0,135,$
90,9.0,9.0,Song Fa Bak Kut Teh,bkj4QMOWfQB2z0znv0PKPQ,another cheap michelin star restaurant selling famous bak kut teh means pork ribs tea white pepper broth hint vinegar even,3,singaporean,1.28897,103.84774,"['11 New Bridge Rd', '#01-01', 'Singapore 059383', 'Singapore']",4.0,135,$
91,10.0,10.0,Song Fa Bak Kut Teh,bkj4QMOWfQB2z0znv0PKPQ,walked across streets nearly swam oceans arrive kidding pouring hard outside even though brought umbrella,3,singaporean,1.28897,103.84774,"['11 New Bridge Rd', '#01-01', 'Singapore 059383', 'Singapore']",4.0,135,$
92,11.0,11.0,Song Fa Bak Kut Teh,bkj4QMOWfQB2z0znv0PKPQ,bak kut teh garlicky peppery flavorful pork soup must try singapore delicious mixed rice therere many bak kut teh,3,singaporean,1.28897,103.84774,"['11 New Bridge Rd', '#01-01', 'Singapore 059383', 'Singapore']",4.0,135,$
93,87.0,87.0,Song Fa Bak Kut Teh,NLPcqNIqp0EuQ8olzxrafA,people crowded shop hot order soup trotter vey good taste visit next time,3,singaporean,1.28897,103.84774,"['11 New Bridge Rd', '#01-01', 'Singapore 059383', 'Singapore']",4.0,135,$
94,88.0,88.0,Song Fa Bak Kut Teh,NLPcqNIqp0EuQ8olzxrafA,good food reasonable pricebest bak kut teh dish singapore try loin normal ribs flavor different texture order veggies,3,singaporean,1.28897,103.84774,"['11 New Bridge Rd', '#01-01', 'Singapore 059383', 'Singapore']",4.0,135,$
95,89.0,89.0,Song Fa Bak Kut Teh,NLPcqNIqp0EuQ8olzxrafA,great simple food like many lunch places clean food fresh pretty good popular often line either come early,3,singaporean,1.28897,103.84774,"['11 New Bridge Rd', '#01-01', 'Singapore 059383', 'Singapore']",4.0,135,$
102,374.0,374.0,Song Fa Bak Kut Teh,xf80jRN8Am041UeqzMaJBw,added new dishes recently mainly braised stuff people still come delish bkt efficient service helped high tech,3,singaporean,1.28897,103.84774,"['11 New Bridge Rd', '#01-01', 'Singapore 059383', 'Singapore']",4.0,135,$
103,375.0,375.0,Song Fa Bak Kut Teh,xf80jRN8Am041UeqzMaJBw,amazing ever big pieces meat broth quite good love coming wished discovered lived singapore,3,singaporean,1.28897,103.84774,"['11 New Bridge Rd', '#01-01', 'Singapore 059383', 'Singapore']",4.0,135,$
104,376.0,376.0,Song Fa Bak Kut Teh,xf80jRN8Am041UeqzMaJBw,came famous pork bone soup disappoint dishes large filling soup delicious refill,3,singaporean,1.28897,103.84774,"['11 New Bridge Rd', '#01-01', 'Singapore 059383', 'Singapore']",4.0,135,$
267,21.0,21.0,Lao You Xuan Noodle Kitchen,TQ1Z2WBqQj9W26THpbupLA,lao xuans seafood soup definitely treat imagine piping hot bowl savoury tasty soup generous serving sliced fish fresh prawns,5,singaporean,1.29525,103.82981,"['413 River Valley Rd', 'Singapore 248311', 'Singapore']",5.0,1,$
268,15.0,15.0,Food Republic,edHx5xHM-09tF8ujPC-kLg,limited selections stalls popular staples like roast pork chicken mealsassortment noodles korean chinese japanese foodnice,6,singaporean,1.29791195619858,103.849930517083,"['51 Bras Basah Rd', '#01-03, Manulife Centre', 'Singapore 189554', 'Singapore']",3.0,8,$
269,16.0,16.0,Food Republic,edHx5xHM-09tF8ujPC-kLg,ive times years consistent two things high price honestly pretty mediocre food tonight,6,singaporean,1.29791195619858,103.849930517083,"['51 Bras Basah Rd', '#01-03, Manulife Centre', 'Singapore 189554', 'Singapore']",3.0,8,$
270,17.0,17.0,Food Republic,edHx5xHM-09tF8ujPC-kLg,easy find good variety foods day clean cool open corner glass windows gives airy feelings,6,singaporean,1.29791195619858,103.849930517083,"['51 Bras Basah Rd', '#01-03, Manulife Centre', 'Singapore 189554', 'Singapore']",3.0,8,$
271,341.0,341.0,Food Republic,0LfsXPU6QAwamI2pzZVknA,found place extreme craving xiao long bao xlb went din tai fung prior arriving found immersed plenty,6,singaporean,1.29791195619858,103.849930517083,"['51 Bras Basah Rd', '#01-03, Manulife Centre', 'Singapore 189554', 'Singapore']",3.0,8,$
272,342.0,342.0,Food Republic,0LfsXPU6QAwamI2pzZVknA,food republic wisma atria renovated even better nowi say skip ethnic food stick local food safer way,6,singaporean,1.29791195619858,103.849930517083,"['51 Bras Basah Rd', '#01-03, Manulife Centre', 'Singapore 189554', 'Singapore']",3.0,8,$
273,343.0,343.0,Food Republic,0LfsXPU6QAwamI2pzZVknA,ordered japanese food goen black udon wkatsu curry rice ok taste hungry thats another story,6,singaporean,1.29791195619858,103.849930517083,"['51 Bras Basah Rd', '#01-03, Manulife Centre', 'Singapore 189554', 'Singapore']",3.0,8,$
277,401.0,401.0,Food Republic,5_YSMb5j1-QLdllKm5Qu8A,nicely decorated food courtto even call food court probably understatement nicer food court food prepared,6,singaporean,1.29791195619858,103.849930517083,"['51 Bras Basah Rd', '#01-03, Manulife Centre', 'Singapore 189554', 'Singapore']",3.0,8,$
327,18.0,18.0,Jian Bo Shui Kueh,TZDEiyQAj3-0vcicJhxulg,since yelp doesnt really much presence singapore resorted reading blogs enlightened breakfast delicacy shui kueh,7,singaporean,1.284768,103.832378,"['30 Seng Poh Rd', '#02-05', 'Singapore 168898', 'Singapore']",4.5,16,$
328,19.0,19.0,Jian Bo Shui Kueh,TZDEiyQAj3-0vcicJhxulg,long layover singapore stepped airport try local food went tiong bahru food market good,7,singaporean,1.284768,103.832378,"['30 Seng Poh Rd', '#02-05', 'Singapore 168898', 'Singapore']",4.5,16,$
329,20.0,20.0,Jian Bo Shui Kueh,TZDEiyQAj3-0vcicJhxulg,best hawker stall food entire trip jian bo shui kueh located left corner immediately enter floor tiong,7,singaporean,1.284768,103.832378,"['30 Seng Poh Rd', '#02-05', 'Singapore 168898', 'Singapore']",4.5,16,$
330,22.0,22.0,Outram Park Fried Kway Teow Mee,MP75PUqBKu9kc-Et_64kXg,husband found singapores eater list yelp came hawker went second floor didnt much difficulty finding,8,singaporean,1.285331,103.845857,"['531A Upper Cross St', '#02-17', 'Hong Lim Food Center', 'Singapore 051531', 'Singapore']",4.5,27,$
331,23.0,23.0,Outram Park Fried Kway Teow Mee,MP75PUqBKu9kc-Et_64kXg,still one better char kway teow town manage lines well pretaking orders giving impression wait long,8,singaporean,1.285331,103.845857,"['531A Upper Cross St', '#02-17', 'Hong Lim Food Center', 'Singapore 051531', 'Singapore']",4.5,27,$
332,24.0,24.0,Outram Park Fried Kway Teow Mee,MP75PUqBKu9kc-Et_64kXg,hardly eat char kway teow one stuck memory early still kid price plate slowly,8,singaporean,1.285331,103.845857,"['531A Upper Cross St', '#02-17', 'Hong Lim Food Center', 'Singapore 051531', 'Singapore']",4.5,27,$
333,28.0,28.0,Ponggol Nasi Lemak,xrHaOFqIrR9fDKMOLXaQ4g,serious contender number spot nasi lemak every single dish awesome chicken wings mega awesome simple clean fried deep doesnt,9,singaporean,1.30675,103.89545,"['238 Tanjong Katong Rd', 'Singapore 437026', 'Singapore']",4.0,13,$
334,29.0,29.0,Ponggol Nasi Lemak,xrHaOFqIrR9fDKMOLXaQ4g,review dedicated favourite nasi lemak place singaporethe perfect combo rice fried chicken wing luncheon meat spam,9,singaporean,1.30675,103.89545,"['238 Tanjong Katong Rd', 'Singapore 437026', 'Singapore']",4.0,13,$
335,30.0,30.0,Ponggol Nasi Lemak,xrHaOFqIrR9fDKMOLXaQ4g,spot unassuming come cafeteria style food rightand take bite coconut milkinfused riceand basically,9,singaporean,1.30675,103.89545,"['238 Tanjong Katong Rd', 'Singapore 437026', 'Singapore']",4.0,13,$
336,31.0,31.0,Luk Lu Eating House,d2r9cSa7OmatqCfnx6MU-g,small kopitiam thats got lot old school flavour really great selection hawkers quite awhile,10,singaporean,1.30135785602552,103.861518626761,"['341 Beach Road', 'Singapore 199567', 'Singapore']",5.0,1,$
337,40.0,40.0,Lao Zhong Zhong Eating House,Xhe3-Fd1oZ9rqbsRWNGyXw,ordered front stall gave table number waited long time food arrive worth wait ngoh hiang delicious sauce,11,singaporean,1.32906,103.8697891,"['29 Tai Thong Crescent', 'Singapore 347858', 'Singapore']",4.0,2,$
338,41.0,41.0,Lao Zhong Zhong Eating House,Xhe3-Fd1oZ9rqbsRWNGyXw,located near former jackson kopitiam place houses previous tenants jackson kopitiam still good used,11,singaporean,1.32906,103.8697891,"['29 Tai Thong Crescent', 'Singapore 347858', 'Singapore']",4.0,2,$
339,37.0,37.0,Jalan Sultan Prawn Mee,YE-T_90DXP7nAXcJQks2YA,sultan prawn noodle jumbo prawn sooo good love prawn broth soup alsothe platter different kind fried stuff good,12,singaporean,1.31123495101929,103.872688293457,"['2 Jalan Ayer', 'Singapore 389141', 'Singapore']",4.5,5,$
340,38.0,38.0,Jalan Sultan Prawn Mee,YE-T_90DXP7nAXcJQks2YA,flavour city sauce soup great overdone prawns fresh noodles done perfectly parking limited open,12,singaporean,1.31123495101929,103.872688293457,"['2 Jalan Ayer', 'Singapore 389141', 'Singapore']",4.5,5,$
341,39.0,39.0,Jalan Sultan Prawn Mee,YE-T_90DXP7nAXcJQks2YA,best prawn mee soup sgi fan jln sultan hae mee soup since place hot stuffy thoughi find,12,singaporean,1.31123495101929,103.872688293457,"['2 Jalan Ayer', 'Singapore 389141', 'Singapore']",4.5,5,$
345,34.0,34.0,No. 18 Zion Road Char Kway Teow,W_Fb34fs1iWSag0d83VSmw,char kway teow served stall outstanding noodles really lovely charred texture tasted pretty sweet dish full,13,singaporean,1.292586,103.831163,"['70 Zion Rd', '#01-17, Zion Road Riverside Food Centre', 'Singapore 247792', 'Singapore']",4.0,20,$
346,35.0,35.0,No. 18 Zion Road Char Kway Teow,W_Fb34fs1iWSag0d83VSmw,noticed fried kway teow chinatown lot published accolades line appears stalls temporary home original,13,singaporean,1.292586,103.831163,"['70 Zion Rd', '#01-17, Zion Road Riverside Food Centre', 'Singapore 247792', 'Singapore']",4.0,20,$
347,36.0,36.0,No. 18 Zion Road Char Kway Teow,W_Fb34fs1iWSag0d83VSmw,one famous char kway teows singapore lot cockels goodies portion huge however,13,singaporean,1.292586,103.831163,"['70 Zion Rd', '#01-17, Zion Road Riverside Food Centre', 'Singapore 247792', 'Singapore']",4.0,20,$
348,42.0,42.0,Bernard's Kitchen,lLxZJ_GQTGunm_-9c1_WDg,fish chips fish juicy fresh thick unlike western stalls non spicy wings taste similar prawn paste wings local zhi zhar,14,singaporean,1.28184,103.8293381,"['127 Kim Tian Road', 'Singapore 160127', 'Singapore']",4.0,1,$
349,25.0,25.0,Sin Heng Kee Porridge,yq_Lo6KZqhw53y_PP5KoJw,crave congee googling place came definitely worth minutes drive line wasnt bad arrive,15,singaporean,1.375019772046,103.885815554213,"['685 Hougang Street 61', '#01-150', 'Singapore 530685', 'Singapore']",5.0,10,$
350,26.0,26.0,Sin Heng Kee Porridge,yq_Lo6KZqhw53y_PP5KoJw,better value overpriced bad service heng long teochew porridgefast service great taste efficient staffcoffees greatdont order,15,singaporean,1.375019772046,103.885815554213,"['685 Hougang Street 61', '#01-150', 'Singapore 530685', 'Singapore']",5.0,10,$
351,27.0,27.0,Sin Heng Kee Porridge,yq_Lo6KZqhw53y_PP5KoJw,one best porridge located north east area never failed order 田鸡 go along porridge today tried 皮蛋花生粥 simply,15,singaporean,1.375019772046,103.885815554213,"['685 Hougang Street 61', '#01-150', 'Singapore 530685', 'Singapore']",5.0,10,$
355,32.0,32.0,Metropolitan YMCA Restaurant,kqbY0Pmq3H01xFC-9sqW2A,metro restaurant justifiably proud known fishhead curry fond tender feelings never swayed,16,singaporean,1.316545,103.826449,"['60 Stevens Rd', 'Singapore 257854', 'Singapore']",4.0,2,$
356,33.0,33.0,Metropolitan YMCA Restaurant,kqbY0Pmq3H01xFC-9sqW2A,familys togo place dont know else eat safe option us always empty tables even weekend,16,singaporean,1.316545,103.826449,"['60 Stevens Rd', 'Singapore 257854', 'Singapore']",4.0,2,$
359,53.0,53.0,Mount Faber Nasi Lemak,btO8LR37d7EHakcRl-Myrg,best value money meal part town ive going every week since moving chinatown years ago pick either flavourful nasi,17,singaporean,1.2810565,103.8420766,"['47 Kreta Ayer Rd', 'Singapore 089006', 'Singapore']",4.5,4,$
360,54.0,54.0,Mount Faber Nasi Lemak,btO8LR37d7EHakcRl-Myrg,favorite cheap eat singapore nasi lemak comparedmake sure get coconut rice every topping excellent,17,singaporean,1.2810565,103.8420766,"['47 Kreta Ayer Rd', 'Singapore 089006', 'Singapore']",4.5,4,$
361,55.0,55.0,Mount Faber Nasi Lemak,btO8LR37d7EHakcRl-Myrg,previously hawkering wares foot mount faber telok blangah stall chinatown round corner restaurant ember burnt,17,singaporean,1.2810565,103.8420766,"['47 Kreta Ayer Rd', 'Singapore 089006', 'Singapore']",4.5,4,$
362,50.0,50.0,Queensway Famous Curry Chicken,f2v8sJ8JtocNizmApSZALw,would travel way north chicken curry laksa time theres long queue food worth travel,18,singaporean,1.2876199,103.80336,"['1 Queensway', '#01-60', 'Singapore 149053', 'Singapore']",4.5,4,$
363,51.0,51.0,Queensway Famous Curry Chicken,f2v8sJ8JtocNizmApSZALw,curry chicken never fails disappoint family weekly hangout whenever dont clue lunchdinner however try,18,singaporean,1.2876199,103.80336,"['1 Queensway', '#01-60', 'Singapore 149053', 'Singapore']",4.5,4,$
364,52.0,52.0,Queensway Famous Curry Chicken,f2v8sJ8JtocNizmApSZALw,best curry chicken singapore great flavor right spiciness right thickness potato soft rice clumpy nicely cooked downside,18,singaporean,1.2876199,103.80336,"['1 Queensway', '#01-60', 'Singapore 149053', 'Singapore']",4.5,4,$
365,59.0,59.0,Goldhill Family Restruant,9wjsbrZInncYd0lnTaTALw,passing happen see long line people guess great chinese dishes lot dishes choose form,19,singaporean,1.36255497646059,103.894035192762,"['6 Hougang Ave 3', '#01-78', 'Singapore 530006', 'Singapore']",5.0,1,$
366,46.0,46.0,Jiak Pa Lang Eating House,MI9lWT5h3Xd53ZFKgjPgKA,jiak pa langbased chinese characters signage would mean eat ones fillbut also similar sounding phrase means,20,singaporean,1.27498608203419,103.801351077855,"['456 Alexandra Rd', '#01-06', 'Singapore 119962', 'Singapore']",4.0,1,$
367,47.0,47.0,Ye Shang Hai Teochew Porridge,zYKrOb-Z3DW-vpzxtbqdrg,tons reviews porridge stall google food blogs soon enter car park lunch hours notice many,21,singaporean,1.2873845,103.813432,"['55 Lengkok Bahru', '#01-387', 'Singapore 151055', 'Singapore']",3.5,8,$
368,48.0,48.0,Ye Shang Hai Teochew Porridge,zYKrOb-Z3DW-vpzxtbqdrg,ye shanghai favourite hotspot taxi drivers well place affordable comfortable teochew mui whenever im vincity,21,singaporean,1.2873845,103.813432,"['55 Lengkok Bahru', '#01-387', 'Singapore 151055', 'Singapore']",3.5,8,$
369,49.0,49.0,Ye Shang Hai Teochew Porridge,zYKrOb-Z3DW-vpzxtbqdrg,ive come twice time solid hesitate say amazing thats say isnt im giving four stars,21,singaporean,1.2873845,103.813432,"['55 Lengkok Bahru', '#01-387', 'Singapore 151055', 'Singapore']",3.5,8,$
370,60.0,60.0,Public House,WPzP4CgAqCYHU7nbH2Wduw,popular reason whilst bit home home staff make nice relaxing fun place drinks friendscan get bit,22,singaporean,1.28631,103.8492889,"['42 Circular Road', 'Singapore 049398', 'Singapore']",4.5,2,$
371,61.0,61.0,Public House,WPzP4CgAqCYHU7nbH2Wduw,popular hangout weeknights business people working nearby financial district british themed bar,22,singaporean,1.28631,103.8492889,"['42 Circular Road', 'Singapore 049398', 'Singapore']",4.5,2,$
372,62.0,62.0,Teochew Handmade Pau,IMTX3gTgyqk5HPfYfaCjGg,think beginning like traditional old school handmade local food stuff hard find around food get,23,singaporean,1.3380899,103.8442917,"['Blk 127 Toa Payoh Lor 1', '#02-02', 'Singapore 310127', 'Singapore']",4.0,7,$
373,63.0,63.0,Teochew Handmade Pau,IMTX3gTgyqk5HPfYfaCjGg,honestly cutest paus ever tiny yet filling way handcrafted paus skin fluffy soft,23,singaporean,1.3380899,103.8442917,"['Blk 127 Toa Payoh Lor 1', '#02-02', 'Singapore 310127', 'Singapore']",4.0,7,$
374,64.0,64.0,Teochew Handmade Pau,IMTX3gTgyqk5HPfYfaCjGg,really hard find places selling kong ba pau fat belly bun apart shop restaurants way get hands buns,23,singaporean,1.3380899,103.8442917,"['Blk 127 Toa Payoh Lor 1', '#02-02', 'Singapore 310127', 'Singapore']",4.0,7,$
375,65.0,65.0,The Gallerie Food Court,ezbQM9lLIUTxnTgvYEjUPA,going escalator come baby crying fussy know whydespite star reviews less,24,singaporean,1.2912199,103.8578033,"['6 Raffles Boulevard Marina Square Shopping Centre', '#04-101/102', 'Singapore 039594', 'Singapore']",3.5,3,$
376,66.0,66.0,The Gallerie Food Court,ezbQM9lLIUTxnTgvYEjUPA,good food decent prices plus get fantastic view marina bay area manage get seat close glass windowsthis works like,24,singaporean,1.2912199,103.8578033,"['6 Raffles Boulevard Marina Square Shopping Centre', '#04-101/102', 'Singapore 039594', 'Singapore']",3.5,3,$
377,67.0,67.0,The Gallerie Food Court,ezbQM9lLIUTxnTgvYEjUPA,food court pretty cool quite variety food options whats really good view food court good view,24,singaporean,1.2912199,103.8578033,"['6 Raffles Boulevard Marina Square Shopping Centre', '#04-101/102', 'Singapore 039594', 'Singapore']",3.5,3,$
381,43.0,43.0,Blanco Court Fish Bee Hoon,p6p_egOHlLYzGBmiUWNAvg,one go places fish soup like local dishes different requirements makes good bowl fish,25,singaporean,1.30132,103.8615875,"['Luk Lu Eating House', '341 Beach Road', 'Singapore 199567', 'Singapore']",4.0,9,$
382,44.0,44.0,Blanco Court Fish Bee Hoon,p6p_egOHlLYzGBmiUWNAvg,seriously best bowl fish noodles mix sliced fish fried fish flavorful soup best part serve,25,singaporean,1.30132,103.8615875,"['Luk Lu Eating House', '341 Beach Road', 'Singapore 199567', 'Singapore']",4.0,9,$
383,45.0,45.0,Blanco Court Fish Bee Hoon,p6p_egOHlLYzGBmiUWNAvg,alltime favourite fish bee hoon soup ever nothing else ive tried compares ages years since first,25,singaporean,1.30132,103.8615875,"['Luk Lu Eating House', '341 Beach Road', 'Singapore 199567', 'Singapore']",4.0,9,$
384,68.0,68.0,Feng Kee Hainanese Curry Rice,9a193rCoMlqwrVYZn22eVA,stumble onto place yahoos write singapores best hainanese curry riceits situated inside pasir panjang food centre store went,26,singaporean,1.27593,103.79134,"['121 Pasir Panjang Road', '#01-41,  Pasir Panjiang Food Centre', 'Singapore 118543', 'Singapore']",4.0,1,$
385,69.0,69.0,136 Hong Kong Street Fish Head Steamboat,4B2p493ZZ276nTB91XAXJw,food cheap tastes ok stuff either really salty hint old dirty oil flavour though wont hurry come back,27,singaporean,1.28145,103.845,"['291 South Bridge Rd', 'Singapore 058836', 'Singapore']",3.5,5,$
386,70.0,70.0,136 Hong Kong Street Fish Head Steamboat,4B2p493ZZ276nTB91XAXJw,worked chinatown area walked past restaurant zillion times without ever thinking eating always looked crowded,27,singaporean,1.28145,103.845,"['291 South Bridge Rd', 'Singapore 058836', 'Singapore']",3.5,5,$
387,71.0,71.0,136 Hong Kong Street Fish Head Steamboat,4B2p493ZZ276nTB91XAXJw,store used neil road moved current location last year zichar steamboat airconditioned eatery dish,27,singaporean,1.28145,103.845,"['291 South Bridge Rd', 'Singapore 058836', 'Singapore']",3.5,5,$
388,76.0,76.0,1983 - A Taste Of Nanyang,nwxpYCnqS8ItEqivxTVwPQ,craving nasi lemak decided give place try got special nasi lemak fried chicken impressive,28,singaporean,1.31680223211053,103.91350823291,"['60 Changi Boulevard', 'Changi Airport Terminal 1 Departure Hall', 'Singapore 419712', 'Singapore']",4.0,4,$
389,77.0,77.0,1983 - A Taste Of Nanyang,nwxpYCnqS8ItEqivxTVwPQ,considering prices restaurants bayfront actually pretty fact incredibly cheap option actually food,28,singaporean,1.31680223211053,103.91350823291,"['60 Changi Boulevard', 'Changi Airport Terminal 1 Departure Hall', 'Singapore 419712', 'Singapore']",4.0,4,$
390,78.0,78.0,1983 - A Taste Of Nanyang,nwxpYCnqS8ItEqivxTVwPQ,food section end terminal one quieter main food hall middle area cactus garden located one,28,singaporean,1.31680223211053,103.91350823291,"['60 Changi Boulevard', 'Changi Airport Terminal 1 Departure Hall', 'Singapore 419712', 'Singapore']",4.0,4,$
391,79.0,79.0,Sin Heng Claypot Bak Koot Teh,j7-AWpOy9A7GxxUYafdSPQ,fragrant good bak kut teh dishes simple pretty good like sesame chicken tofu ngo hiang unless live neighbourhood,29,singaporean,1.30715,103.90434,"['439 Joo Chiat Rd', 'Singapore 427652', 'Singapore']",3.5,15,$
392,80.0,80.0,Sin Heng Claypot Bak Koot Teh,j7-AWpOy9A7GxxUYafdSPQ,worst rip bak kut teh sg smallest pot pork rib soup pieces ribs full rip slices kidney mee,29,singaporean,1.30715,103.90434,"['439 Joo Chiat Rd', 'Singapore 427652', 'Singapore']",3.5,15,$
393,81.0,81.0,Sin Heng Claypot Bak Koot Teh,j7-AWpOy9A7GxxUYafdSPQ,came times staying area managed try bak kut teh dry clay pots well dishesthe,29,singaporean,1.30715,103.90434,"['439 Joo Chiat Rd', 'Singapore 427652', 'Singapore']",3.5,15,$
394,75.0,75.0,Babalicious,FgO-c1uBcqX_gcAxxZuZZQ,im gonna change review following reasons chicken rice really one best ive tried singaporei tried,30,singaporean,1.301237,103.912944,"['1000 East Coast Parkway', '#01-02', 'Marine Cove', 'Singapore 449876', 'Singapore']",4.0,1,$
395,56.0,56.0,Ah Hoe Mee Pok,PeRVsT4SJXk0xrhV2nsY2g,probably reluctant share place thats publish review long time class voters vote place,31,singaporean,1.30624269872495,103.761556229333,"['Block 710 Clementi West St 2', 'Weng Kwang Coffee House', 'Singapore 120710', 'Singapore']",4.0,11,$
396,57.0,57.0,Ah Hoe Mee Pok,PeRVsT4SJXk0xrhV2nsY2g,seeing japanese family selling traditional hawker fare instead ramen definitely novelty bak chor mee quite generous serving,31,singaporean,1.30624269872495,103.761556229333,"['Block 710 Clementi West St 2', 'Weng Kwang Coffee House', 'Singapore 120710', 'Singapore']",4.0,11,$
397,58.0,58.0,Ah Hoe Mee Pok,PeRVsT4SJXk0xrhV2nsY2g,newer stall original stall usually operated either mom son additional help take,31,singaporean,1.30624269872495,103.761556229333,"['Block 710 Clementi West St 2', 'Weng Kwang Coffee House', 'Singapore 120710', 'Singapore']",4.0,11,$
398,82.0,82.0,Tian Tian Hainanese Chicken Rice,wYghrD1hFvP2gxf1Le2H0g,heard rave reviews years particular chicken rice say im disappointed chicken average rice tasty,32,singaporean,1.33357,103.9481888,"['12 Jalan Pari Burong', 'Picardy Garden', 'Singapore 488678', 'Singapore']",3.5,4,$
399,83.0,83.0,Tian Tian Hainanese Chicken Rice,wYghrD1hFvP2gxf1Le2H0g,tian tian chicken rice franchise exact famous stall maxwell food center people living east treat,32,singaporean,1.33357,103.9481888,"['12 Jalan Pari Burong', 'Picardy Garden', 'Singapore 488678', 'Singapore']",3.5,4,$
400,84.0,84.0,Tian Tian Hainanese Chicken Rice,wYghrD1hFvP2gxf1Le2H0g,came whole bunch relatives flying hong kong loved food great place introduce visiting friends,32,singaporean,1.33357,103.9481888,"['12 Jalan Pari Burong', 'Picardy Garden', 'Singapore 488678', 'Singapore']",3.5,4,$
401,278.0,278.0,Tian Tian Hainanese Chicken Rice,fY1IkBnRft1KR0O2tqu7pg,want flavorful fragrant chicken rice tender delicious chicken overall super delicious rice plate incredible pricethis,32,singaporean,1.33357,103.9481888,"['12 Jalan Pari Burong', 'Picardy Garden', 'Singapore 488678', 'Singapore']",3.5,4,$
402,279.0,279.0,Tian Tian Hainanese Chicken Rice,fY1IkBnRft1KR0O2tqu7pg,wonder chicken rice stall famous anthony bourdain featured dishes expensive comparing ambiance ac humid,32,singaporean,1.33357,103.9481888,"['12 Jalan Pari Burong', 'Picardy Garden', 'Singapore 488678', 'Singapore']",3.5,4,$
403,280.0,280.0,Tian Tian Hainanese Chicken Rice,fY1IkBnRft1KR0O2tqu7pg,tian tian make hainanese chicken rice dish mom used make sorry mom true actually cannot really say mom,32,singaporean,1.33357,103.9481888,"['12 Jalan Pari Burong', 'Picardy Garden', 'Singapore 488678', 'Singapore']",3.5,4,$
